2015-10-07 trunk/chameleon 2436 16217 plafrim-trunk-plafrim-morse-cuda5-simgrid-mpi_trunk_chameleon_HEAD_mpi_sim.pbs.o5186057 plafrim-trunk-plafrim-morse-cuda5-simgrid-mpi_trunk_chameleon_HEAD_mpi_sim.pbs.e5186057 96000 96000 1 41.555 7097.06 +- 0.00 SUCCESS
2015-10-08 trunk/chameleon 2441 16247 plafrim-trunk-plafrim-morse-cuda5-simgrid-mpi_trunk_chameleon_HEAD_mpi_sim.pbs.o5186223 plafrim-trunk-plafrim-morse-cuda5-simgrid-mpi_trunk_chameleon_HEAD_mpi_sim.pbs.e5186223 96000 96000 1 41.945 7030.99 +- 0.00 SUCCESS
2015-10-09 trunk/chameleon 2441 16252 plafrim-trunk-plafrim-morse-cuda5-simgrid-mpi_trunk_chameleon_HEAD_mpi_sim.pbs.o5186313 plafrim-trunk-plafrim-morse-cuda5-simgrid-mpi_trunk_chameleon_HEAD_mpi_sim.pbs.e5186313 96000 96000 1 41.919 7035.32 +- 0.00 SUCCESS
2015-10-10 trunk/chameleon 2441 16265 plafrim-trunk-plafrim-morse-cuda5-simgrid-mpi_trunk_chameleon_HEAD_mpi_sim.pbs.o5186445 plafrim-trunk-plafrim-morse-cuda5-simgrid-mpi_trunk_chameleon_HEAD_mpi_sim.pbs.e5186445 96000 96000 1 41.760 7062.13 +- 0.00 SUCCESS
2015-10-12 trunk/chameleon 2442 16265 plafrim-trunk-plafrim-morse-cuda5-simgrid-mpi_trunk_chameleon_HEAD_mpi_sim.pbs.o5186486 plafrim-trunk-plafrim-morse-cuda5-simgrid-mpi_trunk_chameleon_HEAD_mpi_sim.pbs.e5186486 96000 96000 1 42.180 6991.83 +- 0.00 SUCCESS
2015-10-13 trunk/chameleon 2442 16285 plafrim-trunk-plafrim-morse-cuda5-simgrid-mpi_trunk_chameleon_HEAD_mpi_sim.pbs.o5186657 plafrim-trunk-plafrim-morse-cuda5-simgrid-mpi_trunk_chameleon_HEAD_mpi_sim.pbs.e5186657 96000 96000 1 42.254 6979.63 +- 0.00 SUCCESS
2015-10-17 trunk/chameleon 2446 16310 plafrim-trunk-plafrim-morse-cuda5-simgrid-mpi_trunk_chameleon_HEAD_mpi_sim.pbs.o5187434 plafrim-trunk-plafrim-morse-cuda5-simgrid-mpi_trunk_chameleon_HEAD_mpi_sim.pbs.e5187434 96000 96000 1 41.771 7060.40 +- 0.00 SUCCESS
2015-10-19 trunk/chameleon 2446 16310 plafrim-trunk-plafrim-morse-cuda5-simgrid-mpi_trunk_chameleon_HEAD_mpi_sim.pbs.o5187469 plafrim-trunk-plafrim-morse-cuda5-simgrid-mpi_trunk_chameleon_HEAD_mpi_sim.pbs.e5187469 96000 96000 1 42.020 7018.42 +- 0.00 SUCCESS
2015-10-21 trunk/chameleon 2447 16316 plafrim-trunk-plafrim-morse-cuda5-simgrid-mpi_trunk_chameleon_HEAD_mpi_sim.pbs.o5187973 plafrim-trunk-plafrim-morse-cuda5-simgrid-mpi_trunk_chameleon_HEAD_mpi_sim.pbs.e5187973 96000 96000 1 41.645 7081.73 +- 0.00 SUCCESS
2015-10-23 trunk/chameleon 2450 16328 plafrim-trunk-plafrim-morse-cuda5-simgrid-mpi_trunk_chameleon_HEAD_mpi_sim.pbs.o5188866 plafrim-trunk-plafrim-morse-cuda5-simgrid-mpi_trunk_chameleon_HEAD_mpi_sim.pbs.e5188866 96000 96000 1 42.880 6877.76 +- 0.00 SUCCESS
